t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midx8,midx9,midx10,midx11,midx12,midx13,midx14,midx15,midx16,midx17,midx18,midx19,midx20,midx21,midx22,midx23,midx24,midx25,midx26,midx27,midx28,midx29,midx30,midy1,midy2,midy3,midy4,midy5,midy6,midy7,midy8,midy9,midy10,midy11,midy12,midy13,midy14,midy15,midy16,midy17,midy18,midy19,midy20,midy21,midy22,midy23,midy24,midy25,midy26,midy27,midy28,midy29,midy30
0.32,1.2412,1.2749,1.3081,1.3411,1.3747,1.4087,1.4426,1.4765,1.5105,1.5445,1.5785,1.6124,1.6464,1.6804,1.7144,1.7484,1.7823,1.8162,1.8501,1.8839,1.9172,1.9502,1.9832,2.0163,2.0491,2.0821,2.1157,2.1497,2.1826,2.2141,0.88834,0.89299,0.89991,0.90829,0.91336,0.9153,0.9176,0.91949,0.92095,0.92203,0.92295,0.92354,0.92371,0.92336,0.92236,0.92081,0.91875,0.91624,0.91335,0.90938,0.90271,0.89459,0.88643,0.87857,0.86971,0.86142,0.85631,0.85782,0.86633,0.87903
0.33,1.2319,1.266,1.2995,1.333,1.367,1.4013,1.4355,1.4698,1.5041,1.5384,1.5727,1.607,1.6413,1.6757,1.71,1.7443,1.7785,1.8127,1.8469,1.881,1.915,1.9487,1.9824,2.0159,2.0495,2.0831,2.117,2.151,2.1849,2.2188,0.88369,0.88808,0.89585,0.90354,0.90833,0.91153,0.91453,0.91693,0.91906,0.92148,0.92422,0.92683,0.92891,0.92939,0.92773,0.92493,0.92148,0.91787,0.9144,0.9103,0.90478,0.89833,0.89128,0.88358,0.87611,0.8692,0.86342,0.85818,0.85224,0.84645
0.34,1.2272,1.2613,1.295,1.3286,1.3627,1.3971,1.4315,1.466,1.5005,1.535,1.5694,1.6039,1.6384,1.6729,1.7075,1.742,1.7765,1.811,1.8455,1.8798,1.9139,1.9479,1.9818,2.0155,2.0488,2.082,2.1156,2.1499,2.1843,2.2188,0.87903,0.88487,0.89236,0.90082,0.90616,0.90943,0.91254,0.915,0.91728,0.92002,0.9229,0.92555,0.92739,0.92787,0.92683,0.92532,0.9234,0.92119,0.91855,0.91452,0.909,0.90259,0.89581,0.88837,0.87901,0.86936,0.86129,0.8566,0.85339,0.8511
0.35,1.2319,1.2666,1.3012,1.3358,1.3702,1.4049,1.4396,1.4743,1.509,1.5437,1.5783,1.6129,1.6476,1.6822,1.7169,1.7517,1.7864,1.8211,1.8557,1.8902,1.9246,1.9589,1.9929,2.0263,2.059,2.0917,2.1252,2.1593,2.1936,2.2281,0.88834,0.89096,0.89401,0.89804,0.90274,0.90564,0.90823,0.91052,0.91257,0.9149,0.91814,0.92173,0.92496,0.92777,0.93039,0.93146,0.93069,0.92807,0.92436,0.91997,0.91473,0.90885,0.90184,0.89202,0.88012,0.86843,0.85898,0.85212,0.84619,0.84179
0.36,1.2272,1.2617,1.2959,1.3299,1.3641,1.3985,1.4328,1.4672,1.5016,1.5359,1.5701,1.6044,1.6387,1.673,1.7074,1.7418,1.7762,1.8107,1.8451,1.8795,1.9137,1.9478,1.9814,2.0142,2.046,2.0776,2.1091,2.142,2.1755,2.2095,0.893,0.89395,0.89698,0.9024,0.90637,0.90881,0.91106,0.91322,0.91562,0.91853,0.9219,0.92539,0.9286,0.93088,0.93258,0.93376,0.93441,0.93492,0.93465,0.93277,0.92933,0.92409,0.91667,0.90609,0.89289,0.87925,0.86532,0.85514,0.84723,0.84179
0.37,1.2272,1.2616,1.2957,1.33,1.3644,1.3989,1.4334,1.4679,1.5023,1.5365,1.5705,1.6047,1.639,1.6733,1.7076,1.7419,1.7764,1.8108,1.8453,1.8797,1.9141,1.9486,1.9826,2.0157,2.0477,2.0793,2.1109,2.1426,2.1739,2.2048,0.893,0.89572,0.90084,0.90371,0.90459,0.90333,0.90379,0.90469,0.90723,0.91164,0.9171,0.92183,0.9253,0.92871,0.93212,0.93551,0.93616,0.93833,0.94047,0.93889,0.9381,0.93584,0.93067,0.92094,0.90811,0.89418,0.88042,0.86697,0.85239,0.83714
0.38,1.2226,1.2568,1.291,1.3254,1.3599,1.3946,1.4293,1.4639,1.4986,1.5332,1.5678,1.6024,1.6369,1.6713,1.7056,1.7401,1.7747,1.8091,1.8437,1.8784,1.913,1.9476,1.9821,2.0164,2.0497,2.0817,2.1133,2.1451,2.1773,2.2095,0.893,0.8984,0.90424,0.90848,0.90989,0.90866,0.90854,0.90905,0.9102,0.912,0.91423,0.9166,0.91939,0.92416,0.92866,0.93297,0.93462,0.9387,0.93923,0.94007,0.93875,0.93624,0.93316,0.92786,0.91819,0.90492,0.8906,0.87695,0.86393,0.8511
0.39,1.2319,1.2658,1.2994,1.3334,1.3675,1.4017,1.4358,1.4699,1.5041,1.5382,1.5723,1.6064,1.6404,1.6741,1.7077,1.7413,1.7751,1.8091,1.8432,1.8773,1.9114,1.9456,1.9797,2.0136,2.0475,2.0794,2.1119,2.1413,2.1689,2.1955,0.89765,0.90188,0.90786,0.91081,0.91001,0.90864,0.90791,0.90726,0.90729,0.90827,0.91027,0.91274,0.916,0.92133,0.92737,0.93341,0.93813,0.94144,0.94379,0.94544,0.94652,0.94729,0.94635,0.94204,0.93689,0.92503,0.91485,0.8972,0.87718,0.85576
0.4,1.2319,1.2661,1.3003,1.3345,1.3687,1.4028,1.437,1.4712,1.5054,1.5396,1.5737,1.6077,1.6418,1.6759,1.7099,1.7438,1.7776,1.8114,1.8451,1.8791,1.9131,1.9473,1.9815,2.0157,2.0498,2.0834,2.1166,2.1425,2.1676,2.1908,0.90696,0.90845,0.90973,0.90792,0.90577,0.90323,0.90115,0.90006,0.90012,0.90168,0.90534,0.90901,0.91244,0.9156,0.91937,0.92422,0.92951,0.93537,0.94091,0.94557,0.94929,0.95106,0.95107,0.95008,0.94654,0.94067,0.93086,0.90881,0.88562,0.86041
0.41,1.2319,1.2665,1.3011,1.3356,1.3702,1.4047,1.4393,1.4739,1.5085,1.543,1.5776,1.6122,1.6467,1.6812,1.7156,1.7499,1.7841,1.8182,1.8524,1.8864,1.9203,1.9543,1.9887,2.0233,2.0578,2.092,2.1254,2.1567,2.186,2.2141,0.91162,0.91219,0.91247,0.91272,0.91108,0.9097,0.90853,0.90754,0.90645,0.90546,0.90535,0.90624,0.90803,0.91065,0.91425,0.9189,0.9242,0.92955,0.93495,0.94141,0.94836,0.95434,0.95798,0.95839,0.95573,0.95061,0.94157,0.92684,0.90852,0.88834
