t,midx1,midx2,midx3,midx4,midx5,midx6,midx7,midx8,midx9,midx10,midx11,midx12,midx13,midx14,midx15,midx16,midx17,midx18,midx19,midx20,midx21,midx22,midx23,midx24,midx25,midx26,midx27,midx28,midx29,midx30,midy1,midy2,midy3,midy4,midy5,midy6,midy7,midy8,midy9,midy10,midy11,midy12,midy13,midy14,midy15,midy16,midy17,midy18,midy19,midy20,midy21,midy22,midy23,midy24,midy25,midy26,midy27,midy28,midy29,midy30
0.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.35,1028.8,1075.7,1124.7,1173.4,1222.3,1271.4,1320.3,1369.1,1417.7,1465.9,1514,1562.1,1609.7,1656.5,1702.8,1748.8,1794.7,1840.8,1887,1932.8,1978.6,2025.7,2073.9,2122.7,2171.6,2220.9,2268.1,2314.7,2355.7,2394.4,1039,1025.3,1022.1,1016.6,1014.1,1013.7,1010.9,1006.4,999.69,990.53,981.27,971.49,959.57,945.12,928.94,911.87,894.58,877.98,861.45,843.95,826.44,813.14,803.66,798.91,796.82,797.43,810.06,824.8,851.92,882.03
0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.37,1022.7,1071.8,1121.1,1170.4,1219.6,1268.9,1318.3,1367.6,1416.7,1465.8,1514.6,1563.3,1611.7,1659.8,1707.3,1754,1800.3,1846.4,1892.3,1937.2,1982,2026.3,2072.3,2120.1,2168.8,2217.7,2266.9,2316.1,2362.7,2406.6,1041,1036.3,1032.1,1030.4,1031.1,1026.1,1024.2,1021.2,1016.6,1010.5,1003.1,994.53,984.89,973.71,960.06,944.05,926.71,909.03,890.62,870.2,849.27,827.48,809.33,796.86,788.52,781.24,777.33,781.75,798.41,820.88
0.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.39,1024.7,1073.7,1123.1,1172.4,1221.8,1271.2,1320.7,1370.2,1419.6,1469,1518.2,1567.4,1616.5,1665.3,1713.5,1760.8,1807.5,1853.6,1899.5,1945.2,1989.7,2032.8,2076.1,2120.4,2165.7,2210.2,2257.1,2306.6,2355.9,2404.6,1053.2,1046.6,1041.2,1038.3,1039,1034.3,1033.3,1031.2,1028.1,1023.9,1018.8,1012.8,1005.9,997.7,986.23,971.68,955.09,937.09,918.36,899.32,877.59,853.15,829.12,807.12,787.07,765.18,749.3,747.97,752.6,761.77
0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41,1016.6,1066.1,1116.2,1166.3,1216.5,1266.8,1317,1367.2,1417.4,1467.5,1517.6,1567.6,1617.7,1667.6,1717.4,1767,1816.4,1865.5,1914.5,1961.5,2007.8,2051.6,2094.1,2136,2174.8,2212.8,2255.8,2302.4,2350.6,2400.5,1057.3,1049.2,1045.1,1040.6,1039,1037.7,1036.1,1033.5,1030.1,1026.1,1021.5,1016.8,1012.4,1006.5,999.42,991.3,982,971.16,959.57,941.98,922.48,897.62,870.83,843.02,811.11,778.17,752.17,733.37,718.95,712.86
0.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.43,1018.6,1068.5,1118.3,1168.2,1218.3,1268.4,1318.4,1368.5,1418.6,1468.7,1518.7,1568.7,1618.8,1668.8,1718.8,1768.7,1818.5,1868.3,1917.9,1966.5,2013.7,2059.8,2104.6,2146.4,2184.7,2221.9,2259.4,2293.3,2329.4,2363.8,1049.2,1045.8,1040,1036.2,1034.2,1033.1,1032.2,1031.1,1029.9,1028.3,1026.3,1024.1,1021.9,1019.1,1015.7,1011.5,1006.7,1001,993.83,981.71,965.12,945.42,923.08,895.43,863.19,829.62,796.37,759.53,724.83,688.4
